ward,ward_name,area_sq_km, population ,  Single-detached house,  Semi-detached house,  Row house,  Apartment or flat in a duplex,  Apartment in a building that has fewer than five storeys,  Apartment in a building that has five or more storeys,  Other single-attached house,  Movable dwelling
1,Etobicoke North,17.4,"60,735",5070,575,2140,2285,750,7485,10,0
2,Etobicoke North,31.8,"57,210",7405,390,1450,1755,1425,7045,0,0
3,Etobicoke Centre,21.4,"64,065",11095,520,1335,320,785,10425,35,0
4,Etobicoke Centre,20.2,"66,060",11950,765,725,410,1530,10280,10,0
5,Etobicoke-Lakeshore,17,"49,520",7615,140,885,380,2925,10165,10,0
6,Etobicoke-Lakeshore,17.7,"67,560",8140,1140,1355,1045,7460,13415,20,10
7,York West,19.3,"47,345",2740,4105,1240,505,2800,4130,0,0
8,York West,17.2,"54,200",1790,2145,2465,440,1745,9835,10,0
9,York Centre,14.8,"47,470",4055,3370,940,550,4050,4705,0,0
10,York Centre,15.2,"68,535",6455,875,555,1430,3100,14030,40,0
11,York South-Weston,13,"62,615",6450,2075,1090,1180,3745,10325,25,0
12,York South-Weston,11.9,"53,055",6655,1095,160,860,3420,7400,0,10
13,Parkdale-High Park,12.3,"56,895",6530,300,955,1455,4675,7385,15,0
14,Parkdale-High Park,10.4,"57,500",10645,1240,135,725,3105,6960,115,0
15,Eglinton-Lawrence,8.5,"63,520",6625,2565,595,1470,9130,7665,30,10
16,Eglinton-Lawrence,8,"67,990",5130,4610,1350,1925,9740,4125,295,0
17,Davenport,11.1,"66,135",7195,2575,905,1280,6475,11610,25,0
18,Davenport,6.9,"72,620",2215,2525,1435,1715,13430,13055,160,25
19,Trinity-Spadina,7.9,"72,460",1600,2925,2190,2160,11795,14715,650,0
20,Trinity-Spadina,2.1,"36,400",10,35,165,0,340,22305,0,0
21,St. Paul's,2.9,"28,665",10,95,930,100,1460,14540,25,0
22,St. Paul's,11.6,"42,230",260,35,105,40,400,23805,25,0
23,Willowdale,2.7,"47,560",205,575,1390,280,4090,17700,35,0
24,Willowdale,4.4,"42,390",480,875,1005,655,7640,10260,165,0
25,Don Valley West,2.2,"43,945",105,280,515,40,1515,24775,15,0
26,Don Valley West,7.4,"57,700",4325,2105,605,590,4410,17585,20,0
27,Toronto Centre-Rosedale,20.8,"59,675",9965,765,920,355,3045,10120,20,0
28,Toronto Centre-Rosedale,7.6,"55,840",4465,235,480,535,1455,17550,25,0
29,Toronto-Danforth,11.3,"57,765",7525,475,1245,810,1535,11590,0,0
30,Toronto-Danforth,13.6,"48,580",4910,1450,1525,305,1870,9615,0,0
31,Beaches-East York,10.7,"61,490",3970,2160,2715,270,1215,12445,20,0
32,Beaches-East York,18.2,"68,245",5460,1905,2095,210,3990,14910,20,10
33,Don Valley East,11,"55,425",3410,1005,730,25,2430,11975,0,0
34,Don Valley East,11,"58,220",7950,3555,285,1500,5350,6620,55,0
35,Scarborough Southwest,11.2,"65,240",7730,1870,920,1235,3705,10945,40,10
36,Scarborough Southwest,14,"60,615",3100,5970,2565,1495,8680,3690,150,0
37,Scarborough Centre,9,"54,020",5030,4955,1275,1000,7710,3465,70,0
38,Scarborough Centre,20.1,"64,865",11565,710,1090,1610,2555,7385,100,0
39,Scarborough Agincourt,13.7,"65,460",6055,1865,1500,1880,2355,9945,260,0
40,Scarborough Agincourt,18,"67,795",9425,375,1750,2665,1840,8280,10,0
41,Scarborough-Rouge River,16.5,"70,535",7640,655,1155,2070,740,12855,35,0
42,Scarborough-Rouge River,12.9,"61,245",7055,580,2320,1410,960,9525,55,0
43,Scarborough East,13.8,"69,375",7990,1585,2905,895,1145,7370,30,10
44,Scarborough East,18.6,"62,360",6690,1435,3080,1155,1095,5860,95,0
45,Ward 45,38.9,"63,585",7605,1730,3355,1745,875,3020,90,0
46,Ward 46,14.6,"57,635",6430,335,1520,1600,815,9040,25,10
47,Ward 47,20.9,"49,230",10945,530,1830,1210,345,1225,20,0